,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,17081,"Sharma, Shubhankar",,,,,,,,0.69,0.06,0.00,1.00,30.13,0.03,78.00,,,,,,,,0.50,0.12,0.00,0.96,53.58,0.12,26.00,0.63,0.07,1.00,0.97,42.90,0.11,31.00,0.43,0.00,1.00,1.00,45.16,-0.09,14
,28159,"Meissner, Mac",0.84,0.07,0.00,0.96,22.45,0.01,264.00,0.71,0.07,0.00,0.96,30.43,0.03,463.00,0.86,0.07,0.00,0.97,16.27,0.04,105.00,0.34,0.06,0.00,0.97,64.23,0.00,141.00,0.47,0.07,0.00,0.97,46.28,0.01,200.00,0.50,0.10,0.00,0.93,39.57,-0.01,137
,11460,"Manassero, Matteo",0.87,0.08,0.00,0.98,20.65,0.05,63.00,0.71,0.07,0.00,0.95,30.54,0.03,141.00,0.97,0.09,0.00,1.00,17.18,0.02,22.00,0.41,0.07,0.00,0.93,59.14,0.02,45.00,0.43,0.06,0.00,0.97,52.85,0.00,69.00,0.63,0.15,0.00,0.91,34.24,0.08,34
,12577,"Woodland, Gary",0.76,0.08,0.00,0.90,24.89,-0.05,285.00,0.72,0.08,0.00,0.95,30.67,0.03,459.00,0.83,0.05,0.00,0.93,19.41,-0.04,94.00,0.37,0.05,0.00,0.96,55.56,0.04,174.00,0.49,0.07,0.00,0.93,45.73,0.04,210.00,0.62,0.07,0.00,0.95,36.16,0.04,172
,15466,"Cantlay, Patrick",0.78,0.07,0.00,0.92,22.09,0.01,240.00,0.71,0.07,0.00,0.97,29.72,0.03,356.00,0.84,0.08,0.00,0.95,17.39,0.01,98.00,0.34,0.03,0.00,0.95,62.59,0.00,109.00,0.47,0.04,0.00,0.98,44.74,0.02,207.00,0.58,0.05,0.00,0.98,37.24,0.02,123
,22833,"Echavarria, Nicolas",0.77,0.06,0.00,0.91,23.21,-0.02,331.00,0.72,0.07,0.00,0.95,30.25,0.03,462.00,0.82,0.05,0.00,0.91,19.75,-0.07,96.00,0.33,0.04,0.00,0.96,69.87,-0.04,118.00,0.50,0.06,0.00,0.93,45.15,0.01,224.00,0.54,0.11,0.00,0.94,35.38,0.03,133
,14007,"Martin, Ben",0.86,0.05,0.00,0.97,20.52,0.04,113.00,0.68,0.08,0.00,0.95,31.41,0.03,223.00,0.82,0.13,0.00,0.93,17.84,0.00,54.00,0.39,0.03,0.00,0.96,60.49,0.02,68.00,0.55,0.01,0.00,0.99,43.22,0.07,96.00,0.62,0.03,0.00,0.92,40.29,-0.03,66
,18770,"Rozner, Antoine",,,,,,,,0.71,0.04,0.00,0.94,30.58,0.03,72.00,,,,,,,,0.33,0.08,1.00,1.00,56.94,0.05,25.00,0.52,0.10,1.00,1.00,43.05,0.07,30.00,0.68,0.08,1.00,0.92,35.26,0.05,13
,25601,"Jordan, Matthew",,,,,,,,0.69,0.08,1.00,0.94,31.29,0.03,53.00,,,,,,,,,,,,,,,,,,,,,,0.76,0.08,1.00,1.00,28.27,0.12,12
,14578,"Henley, Russell",0.85,0.08,0.00,0.96,19.31,0.06,299.00,0.69,0.06,0.00,0.96,29.72,0.03,471.00,0.86,0.10,0.00,0.95,15.27,0.05,111.00,0.35,0.05,0.00,0.97,54.92,0.05,112.00,0.49,0.04,0.00,0.94,48.78,0.00,240.00,0.66,0.11,0.00,0.97,32.30,0.10,92
