,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
,dg_id,player_name,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
,7655,"Molinari, Francesco",0.89,0.06,0.00,0.98,21.00,0.04,122.00,0.68,0.07,0.00,0.95,31.11,0.03,204.00,0.93,0.18,0.00,0.96,15.29,0.08,50.00,0.37,0.04,0.00,0.96,76.62,-0.04,53.00,0.40,0.04,0.00,0.97,51.22,-0.04,108.00,0.68,0.14,0.00,0.94,32.15,0.08,36
,18554,"Rai, Aaron",0.86,0.06,0.00,0.95,21.47,0.03,345.00,0.72,0.05,0.00,0.97,30.24,0.03,537.00,0.82,0.12,0.00,0.95,16.79,0.02,94.00,0.35,0.11,0.00,0.98,63.27,0.05,120.00,0.49,0.06,0.00,0.96,47.64,0.02,308.00,0.60,0.06,0.00,0.93,40.66,-0.03,91
,23504,"Hoey, Rico",0.77,0.08,0.00,0.92,23.51,-0.02,281.00,0.69,0.08,0.00,0.93,30.92,0.03,410.00,0.91,0.11,0.00,0.99,16.61,0.06,84.00,0.36,0.04,0.00,0.97,61.51,0.00,112.00,0.47,0.04,0.00,0.95,47.85,-0.01,173.00,0.50,0.04,0.00,0.94,44.47,-0.12,141
,29279,"Suber, Jackson",0.84,0.02,1.00,0.98,23.19,-0.01,48.00,0.70,0.08,0.00,0.98,29.62,0.03,102.00,0.85,0.16,0.00,1.00,14.42,0.10,32.00,0.35,0.08,0.00,0.88,63.16,-0.05,48.00,0.51,0.08,0.00,0.98,41.76,0.09,49.00,0.58,0.15,0.00,0.97,31.92,0.12,33
,28159,"Meissner, Mac",0.82,0.08,0.00,0.96,22.32,0.01,255.00,0.71,0.06,0.00,0.96,30.10,0.03,438.00,0.86,0.06,0.00,0.97,16.52,0.03,101.00,0.37,0.06,0.00,0.98,64.42,0.02,129.00,0.47,0.07,0.00,0.96,46.20,0.00,186.00,0.50,0.10,0.00,0.93,39.98,-0.01,135
,14578,"Henley, Russell",0.85,0.07,0.00,0.96,19.54,0.05,299.00,0.70,0.06,0.00,0.96,29.68,0.03,467.00,0.87,0.10,0.00,0.95,15.00,0.06,113.00,0.34,0.04,0.00,0.99,58.01,0.05,113.00,0.52,0.04,0.00,0.95,47.94,0.02,242.00,0.65,0.13,0.00,0.97,32.50,0.11,94
,17081,"Sharma, Shubhankar",,,,,,,,0.69,0.06,0.00,1.00,30.13,0.03,78.00,,,,,,,,0.50,0.12,0.00,0.96,53.58,0.12,26.00,0.63,0.07,1.00,0.97,42.90,0.11,31.00,0.43,0.00,1.00,1.00,45.16,-0.09,14
,8825,"Harman, Brian",0.85,0.07,0.00,0.96,21.55,0.03,362.00,0.70,0.07,0.00,0.95,28.79,0.03,558.00,0.88,0.10,0.00,0.93,17.63,0.02,147.00,0.38,0.06,0.00,0.97,71.20,0.02,142.00,0.51,0.04,0.00,0.96,46.63,0.01,289.00,0.61,0.05,0.00,0.94,39.10,0.00,128
,15466,"Cantlay, Patrick",0.79,0.06,0.00,0.93,21.99,0.01,249.00,0.71,0.06,0.00,0.97,29.48,0.03,355.00,0.86,0.09,0.00,0.97,16.48,0.02,94.00,0.33,0.04,0.00,0.96,61.12,0.03,114.00,0.47,0.04,0.00,0.97,44.97,0.01,201.00,0.59,0.05,0.00,0.98,37.02,0.02,122
,23950,"Aberg, Ludvig",0.83,0.10,0.00,0.94,21.72,0.03,322.00,0.71,0.05,0.00,0.96,29.27,0.03,375.00,0.90,0.11,0.00,0.96,15.33,0.04,90.00,0.30,0.06,0.00,0.96,64.48,-0.02,129.00,0.54,0.09,0.00,0.95,42.88,0.06,221.00,0.55,0.08,0.00,0.97,39.81,0.02,116
,24766,"Kim, Tom",0.87,0.08,0.00,0.96,19.91,0.05,305.00,0.69,0.07,0.00,0.96,30.55,0.03,487.00,0.94,0.12,0.00,0.95,14.84,0.09,107.00,0.35,0.04,0.00,0.96,66.98,-0.01,136.00,0.48,0.04,0.00,0.98,46.07,0.03,251.00,0.57,0.07,0.00,0.95,35.60,0.04,101
,32330,"Clanton, Luke",0.82,0.07,0.00,0.95,22.40,0.01,177.00,0.67,0.10,0.00,0.96,31.32,0.03,206.00,0.79,0.09,0.00,0.96,17.18,-0.02,56.00,0.43,0.03,0.00,0.97,61.88,0.02,62.00,0.52,0.07,0.00,0.97,41.94,0.08,106.00,0.54,0.10,0.00,0.90,40.37,0.00,81
