
Tournament: AT&T - Pebble Beach (2026),Last updated: 2026-02-19T02:22:22.149Z
Course: Spyglass Hill Golf Course,Found 80 players from historical_csv
Data Date: 2026-02-23T18:01:30.252Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"29767","Gerard, Ryan","T45",14,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"17536","Spaun, J.J.","T45",4,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"21891","Kitayama, Kurt","T48",22,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"23475","Novak, Andrew","T48",59,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE"
"11276","Horschel, Billy","T48",62,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE"
"28309","Coody, Pierceson","T48",40,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE"
"12423","Kirk, Chris","T52",44,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"16283","Rodgers, Patrick","T52",41,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE"
"17365","Mitchell, Keith","T52",66,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8"
"25569","Stevens, Sam","T55",80,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"26651","Young, Cameron","T55",38,"","","","","","","","","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8"
"19870","McCarthy, Denny","T55",63,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"23604","Clark, Wyndham","T58",12,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"18841","Hovland, Viktor","T58",3,"","","","","","","","","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"23014","Theegala, Sahith","T60",32,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"24342","Higgo, Garrick","T60",72,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8"
"26657","Fisk, Steven","T60",68,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"27900","Potgieter, Aldrich","T60",75,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
