
Tournament: AT&T Pebble Beach Pro-Am,Last updated: 
Course: Spyglass Hill Golf Course,Found 80 players from cache
Data Date: 2026-03-03T21:27:53.310Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↓ Approach | 📉 SG Approach: trend continuing (1.074) | 📉 SG T2G: trend reversing (1.456) | 📈 SG Putting: trend continuing (0.458)","21554","Poston, J.T.",29,"T37",-11,0.12499999999999994,0.956,281.75,290.121,0.7322500000000001,0.6643000000000001,0.11849999999999997,0.365,-0.7077499999999999,0.05,0.675,-0.015,0.15124999999999997,0.33,0.006750000000000034,0.305,0.7084999999999999,0.7106999999999999,34.57575,28.733,43.6045,52.539,0,69.25,4.75,0.67725,2.5,2.75
"↓ Approach | 📉 SG Approach: trend reversing (0.829) | 📉 Driving Accuracy: trend reversing (0.027)","23950","Aberg, Ludvig",47,"T37",-11,0.38749999999999984,-0.018,286.17499999999995,294.422,0.66075,0.5568,0.11574999999999999,0.099,0.04375000000000001,-0.203,0.20025000000000004,0.159,-0.12824999999999998,0.143,0.2717500000000001,-0.038,0.68025,0.6265,29.387500000000003,29.073,22.72875,45.206,0,69.25,6,0.6995,4.25,4
"↑ Short Game | 📈 SG Around Green: trend continuing (1.650) | 📈 SG Putting: trend reversing (2.095)","27774","Gotterup, Chris",24,"T37",-11,0.125,1.439,293.3,307.028,0.57125,0.5669,0.8185,1.182,0.02424999999999994,0.1,0.61475,0.257,0.1795,0.826,-0.69325,-0.898,0.6945,0.6989,34.03,28.629,28.111,49.87,0,69.25,5.75,0.55275,4.75,4
"↓ Driving | 📉 SG OTT: trend continuing (3.338) | 📉 SG T2G: trend continuing (0.276) | 📉 SG Around Green: trend reversing (0.202)","24968","Griffin, Ben",23,"T37",-11,0.12499999999999978,0.553,277.8,298.352,0.661,0.6142,-0.23424999999999996,0.419,-0.025249999999999995,-0.351,0.2512500000000001,0.449,-0.46025000000000005,0.321,0.3595,0.21,0.7222500000000001,0.7076,28.4925,32.363,31.9215,45.71,0,69.25,4.75,0.72925,3.5,2.75
"↓ Overall | 📉 SG T2G: trend continuing (0.331) | 📈 SG Approach: trend reversing (0.584) | 📈 SG Around Green: trend reversing (0.275) | ❌ Underperformed model prediction","23323","MacIntyre, Robert",8,"T37",-11,0.38750000000000007,1.437,286.625,298.718,0.67825,0.5725,-0.5562499999999999,0.565,-0.42025000000000007,0.029,-0.28049999999999997,-0.08,0.14450000000000002,0.616,0.9437499999999999,1.07,0.7222500000000001,0.7062999999999999,36.23725,30.935,22.889000000000003,42.675,0,69.25,4.75,0.784,3.25,3.75
"↓ Short Game | 📉 SG Around Green: trend continuing (1.320) | 📈 SG Approach: trend continuing (1.166) | 📈 SG T2G: trend continuing (1.138)","14502","Cauley, Bud",60,"T37",-11,0.12500000000000003,-0.432,274.25,292.131,0.7857500000000001,0.5988,0.4542500000000001,-0.013,0.79425,-0.011,-0.086,0.044,-0.254,-0.046,-0.32899999999999996,-0.674,0.6945,0.7081999999999999,29.1485,30.539,50.22925,54.674,0,69.25,5.75,0.475,4.25,5
"↑ Finished better than predicted | ↓ Approach | 📉 SG Approach: trend continuing (0.482) | 📉 SG Around Green: trend reversing (0.235)","23465","Greyserman, Max",74,"T37",-11,0.125,-0.289,285.79999999999995,295.781,0.5177499999999999,0.5477000000000001,-0.2755000000000001,-0.56,-1.08125,-0.073,0.80875,-0.062,-0.002999999999999947,-0.425,0.40075,-0.24,0.66675,0.6236999999999999,33.92675,30.943,27.143,42.771,0,69.25,4.5,0.80025,3,3.5
"↑ Putting | 📈 SG Putting: trend continuing (1.853) | 📉 SG OTT: trend continuing (0.369) | 📈 SG Around Green: trend reversing (0.724)","6093","Rose, Justin",35,"T37",-11,0.38749999999999996,-0.116,281.55,286.074,0.625,0.6537000000000001,-0.6487499999999999,0.045,0.26649999999999996,-0.022,-0.4967499999999999,-0.247,-0.4185,0.313,1.03625,-0.33,0.6945,0.6563,29.40475,34.687,23.761000000000003,47.271,0,69.25,5.25,0.60725,3.5,3.5
"↓ Finished worse than predicted | ❌ Underperformed model prediction","14609","Kim, Si Woo",3,"T45",-10,-0.12499999999999978,1.382,279.32500000000005,293.679,0.6962499999999999,0.7395,0.626,2.287,0.39124999999999993,1.202,-0.24725,0.324,0.482,0.761,-0.75075,-0.937,0.764,0.7645000000000001,26.577749999999998,23.553,26.82125,54.363,0,69.5,4.5,0.5625,3.25,3.5
"↓ Finished worse than predicted | ↓ Short Game | 📉 SG Around Green: trend continuing (1.259) | 📉 SG Putting: trend reversing (0.632) | ❌ Underperformed model prediction","29767","Gerard, Ryan",11,"T45",-10,0.13750000000000007,1.613,280.04999999999995,288.444,0.6785,0.6745,-0.12450000000000001,1.455,0.46625000000000005,0.927,-1.01375,0.142,0.42300000000000004,0.39,0.262,-0.06,0.722,0.7484000000000001,30.377250000000004,26.784,32.448,41.806,0,69.5,4,0.49649999999999994,2.25,3.25
