
Tournament: Genesis Invitational,Last updated: 
Course: The Riviera Country Club,Found 72 players from cache
Data Date: 2026-03-03T22:18:01.961Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↑ Short Game | 📈 SG Around Green: trend continuing (0.917) | 📈 SG Putting: trend continuing (0.732) | 📉 SG Approach: trend continuing (0.263)","11676","Finau, Tony",36,"T28",-6,0.15350000000000003,0.654,289.625,291.907,0.49974999999999997,0.5204,0.007999999999999924,0.175,-0.4715,0.443,0.865,0.138,-0.38549999999999995,-0.405,0.146,1.372,0.6527499999999999,0.6329,33.007,30.938,59.09125,50.055,0,69.5,4.75,0.63025,4,5
"❌ Underperformed model prediction","14609","Kim, Si Woo",9,"T34",-5,-0.09650000000000003,0.859,284.775,290.072,0.6427499999999999,0.6970999999999999,1.0342500000000001,0.947,0.8105,0.226,0.28675,0.249,-0.063,0.472,-1.1305,-0.508,0.6804999999999999,0.6339,22.202749999999998,30.048,55.937,56.172,0,69.75,3.75,0.60075,3.75,4.5
"↑ Approach | 📈 SG Approach: trend continuing (0.870) | 📉 SG OTT: trend continuing (0.478) | 📉 SG T2G: trend continuing (0.338)","16283","Rodgers, Patrick",60,"T34",-5,-0.09649999999999999,-0.882,285.47499999999997,296.409,0.375,0.5371,-0.24624999999999997,-0.484,0.76375,-0.539,-0.03800000000000005,0.354,-0.972,-0.3,0.15000000000000008,-0.257,0.6252500000000001,0.6158,26.16325,34.629,37.605000000000004,56.703,0,69.75,4.25,0.64175,3.75,4.25
"↑ Driving | 📈 SG OTT: trend reversing (1.706) | 📉 SG Approach: trend reversing (0.963) | 📉 SG Around Green: trend reversing (0.420) | ↓ Below average performer","24766","Kim, Tom",62,"T34",-5,-0.09650000000000003,-0.915,284.65,290.188,0.6784999999999999,0.6082,1.01375,-0.687,0.6287499999999999,0.018,0.5347500000000001,-0.04,-0.14975,-0.665,-1.10975,0.104,0.73625,0.5920000000000001,27.86325,37.704,44.332750000000004,62.32,0,69.75,4,0.506,3,4.25
"↑ Approach | 📈 SG Approach: trend reversing (0.210) | 📉 SG OTT: trend reversing (0.198) | 📈 Greens in Regulation: trend continuing (0.017) | ❌ Underperformed model prediction","15466","Cantlay, Patrick",11,"T37",-4,-0.3464999999999998,1.165,287.6,294.235,0.607,0.581,0.38049999999999995,0.81,-0.2405,0.778,0.28025,-0.036,0.34075,0.068,-0.72675,0.237,0.66675,0.6944,29.673499999999997,28.06,48.87125,66.11,0,70,3.5,0.49175,3,3.5
"↓ Overall | 📉 SG T2G: trend continuing (0.566) | 📈 SG Total: trend reversing (1.014) | 📉 SG Approach: trend continuing (0.221)","17576","Conners, Corey",43,"T37",-4,-0.3465,-0.004,286.45,286.686,0.6785,0.7323000000000001,-0.47125,-0.176,-0.895,-0.299,0.13924999999999998,-0.314,0.2845,0.437,0.12525000000000008,-0.669,0.68075,0.6573,31.812250000000002,30.006,43.79575,55.033,0,70,2.75,0.6815,1.5,3
"↑ Overall | 📈 SG T2G: trend continuing (1.412) | 📉 SG Total: trend continuing (0.558) | 📈 SG Approach: trend continuing (0.356)","23816","Valimaki, Sami",52,"T37",-4,-0.3465,-1.413,281.725,282.174,0.6072500000000001,0.6103999999999999,0.02300000000000002,-1.501,0.86425,-0.851,-0.521,0.028,-0.32025,-0.678,-0.36925,0.35,0.6944999999999999,0.6357,23.741500000000002,30.968,37.26275,54.749,0,70,3.5,0.653,3.25,3.75
"↑ Short Game | 📈 SG Around Green: trend reversing (0.629) | 📈 SG OTT: trend continuing (0.256) | 📉 SG Approach: trend continuing (0.241)","17538","Homa, Max",58,"T37",-4,-0.3464999999999999,-0.47,289.2,292.872,0.55375,0.5924,-0.36724999999999997,-1.019,-0.12800000000000003,-0.6,-0.24824999999999997,-0.422,0.008999999999999985,0.003,0.020999999999999935,-0.145,0.6665,0.5724,28.880000000000003,34.834,43.122,76.773,0,70,3.25,0.5832499999999999,2.5,5
"↓ Finished worse than predicted | ↑ Driving | 📈 SG OTT: trend continuing (0.334) | 📉 SG Putting: trend continuing (0.325) | 📉 SG T2G: trend reversing (0.376) | ❌ Underperformed model prediction","18841","Hovland, Viktor",10,"T41",-3,-0.5965,0.345,285.5,286.506,0.6427499999999999,0.6409,0.3889999999999999,0.323,0.43375,0.503,-0.26975000000000005,0.089,0.22499999999999998,-0.269,-0.98525,-0.364,0.69475,0.6301,25.46,29.02,53.392999999999994,68.919,0,70.25,3.25,0.6515,2,4.25
"↓ Overall | 📉 SG Total: trend continuing (2.737) | 📈 SG OTT: trend continuing (0.642) | 📈 SG Putting: trend reversing (1.046)","23604","Clark, Wyndham",64,"T41",-3,-0.5964999999999999,-1.062,298.225,297.874,0.57125,0.5566,1.2427499999999998,-0.546,0.08749999999999994,-0.483,0.928,0.158,0.2272500000000001,-0.222,-1.839,-1.053,0.639,0.5600999999999999,30.03175,31.259,43.341499999999996,68.727,0,70.25,5.25,0.66275,3,4.75
"↑ Driving | 📈 SG OTT: trend reversing (2.909) | ❌ Underperformed model prediction","24968","Griffin, Ben",16,"T41",-3,-0.5965,1.117,289.025,293.838,0.57125,0.5976,-0.6965000000000001,0.794,-0.307,0.469,-0.13825,0.216,-0.25125000000000003,0.109,0.10025000000000006,0.272,0.6527499999999999,0.6768000000000001,32.64475,32.407,47.43625,50.338,0,70.25,4,0.6034999999999999,2.25,3.75
"↑ Driving | 📈 SG OTT: trend reversing (118.412) | 📉 SG Around Green: trend continuing (0.351) | 📈 SG Approach: trend continuing (0.334) | ↓ Below average performer","13508","Vegas, Jhonattan",72,"44",-2,-0.8464999999999998,-2.028,287.775,292.487,0.5535,0.5390999999999999,-0.5422499999999999,-1.282,0.4387499999999999,-1.053,-0.7775,0.004,-0.20350000000000001,-0.233,-0.3040000000000001,-1.159,0.6252500000000001,0.5323,26.069250000000004,33.946,50.3545,66.254,0,70.5,4.25,0.6185,2.75,4.5
"↓ Approach | 📉 SG Approach: trend reversing (0.365) | 📉 SG Around Green: trend continuing (0.146) | 📈 Driving Accuracy: trend reversing (0.040) | ❌ Underperformed model prediction","22760","Hisatsune, Ryo",19,"T45",-1,-1.0965,1.186,288.075,293.098,0.5177499999999999,0.6690999999999999,0.33875,0.438,0.6787500000000001,-0.107,-0.53325,0.236,0.19324999999999998,0.308,-1.435,0.555,0.6527499999999999,0.6679,28.07575,35.166,47.759750000000004,47.85,0,70.75,4.5,0.56175,3.25,5.25
"❌ Underperformed model prediction","17780","Pendrith, Taylor",20,"T45",-1,-1.0965,1.116,296.625,301.167,0.53575,0.5534,-1.59925,1.394,-1.032,0.756,-0.58375,0.17,0.016499999999999997,0.468,0.50325,0.864,0.6805,0.665,33.67325,31.939,58.45400000000001,64.111,0,70.75,4,0.48625,4,4.5
"↑ Overall | 📈 SG Total: trend reversing (1.066) | 📉 SG T2G: trend continuing (0.516) | 📈 SG Putting: trend continuing (0.305)","23475","Novak, Andrew",68,"T47",0,-1.3464999999999998,-1.057,285.075,287.816,0.5715,0.6636,-2.1385,-0.785,-1.07925,-0.162,-0.196,-0.753,-0.8632500000000001,0.131,0.7925,-0.489,0.5695,0.6186,29.8485,29.184,55.06725,69.799,0,71,4,0.6152500000000001,3.5,4.75
"↓ Overall | 📉 SG Total: trend continuing (1.459) | 📈 SG OTT: trend reversing (0.406)","19870","McCarthy, Denny",56,"T47",0,-1.3465,-0.686,277.40000000000003,284.546,0.53575,0.6123,-1.5775000000000001,-0.72,-0.8775,-0.202,0.129,0.217,-0.829,-0.735,0.23149999999999993,-0.043,0.66675,0.6357,34.52,31.262,49.33025,77.707,0,71,3.25,0.6945,1.5,3.5
"↑ Putting | 📈 SG Putting: trend continuing (0.764) | 📈 SG Around Green: trend reversing (1.182) | 📉 SG Total: trend continuing (0.454)","20722","Schmid, Matti",50,"49",2,-1.8464999999999998,0.241,293.975,291.518,0.607,0.5271,-1.9777500000000001,0.197,-2.22625,-0.045,-0.18300000000000002,-0.045,0.4315,0.288,0.13175000000000003,0.106,0.5972500000000001,0.6988,35.681250000000006,32.3,59.593,52.204,0,71.5,3.75,0.73475,2.25,4.75
"↓ Overall | 📉 SG T2G: trend continuing (2.060) | 📉 SG Total: trend continuing (0.480) | 📈 SG Approach: trend reversing (0.669)","8825","Harman, Brian",55,"T50",5,-2.5965,-0.76,278.9,284.907,0.6965,0.6562,-2.2257499999999997,-0.705,-1.36775,-0.531,-0.74575,0.182,-0.11225,-0.356,-0.37024999999999997,-0.254,0.639,0.6031,31.78025,30.43,73.44000000000001,67.559,0,72.25,2.75,0.5125000000000001,1.5,3.5
"↓ Finished worse than predicted | ↓ Putting | 📉 SG Putting: trend continuing (1.001) | 📈 SG Total: trend reversing (1.693) | 📉 SG Approach: trend reversing (0.218) | ↑ Above average performer | ❌ Underperformed model prediction","17511","Straka, Sepp",2,"T50",5,-2.5965,2.234,287.04999999999995,288.546,0.5715,0.7458,-1.399,1.375,0.020499999999999977,0.592,-0.7355,0.083,-0.684,0.698,-1.19725,0.558,0.625,0.6822,25.113750000000003,28.53,46.231500000000004,55.223,0,72.25,3,0.48874999999999996,1.5,5.5
"↓ Putting | 📉 SG Putting: trend continuing (0.314) | 📈 SG OTT: trend continuing (0.190)","18634","McNealy, Maverick",22,"51",1,-1.3399999999999999,1.246,292.15,291.062,0.6785,0.6672,0.263,1.02,-0.5055000000000001,0.552,-0.28049999999999997,0.041,1.049,0.427,-1.6025,-0.322,0.639,0.6546,40.256,32.183,30.5375,56.549,0,71.5,3.5,0.675,1.5,5
"↓ Finished worse than predicted | ↑ Approach | 📈 SG Approach: trend continuing (8.611) | 📈 SG T2G: trend reversing (4.978) | 📉 SG Around Green: trend continuing (1.322) | ❌ Underperformed model prediction","22833","Echavarria, Nico",18,"51",1,-1.34,1.004,277.1,289.714,0.714,0.6295000000000001,-0.017000000000000126,0.631,0.239,0.703,-0.3145,-0.339,0.058499999999999996,0.267,-1.3225,0.426,0.722,0.6597,31.2315,34.52,61.394000000000005,50.825,0,71.5,2.5,0.85,2,2.5
