
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS,Scoring Average,Birdies or Better,Scrambling,Great Shots,Poor Shot Avoidance
"↓ Approach | 📉 SG Approach: trend continuing (0.510) | 📉 SG OTT: trend continuing (0.298) | 📈 SG Putting: trend continuing (0.212)","15556","Hughes, Mackenzie",25,"T28",-7,0.9235000000000001,0.549,299.45000000000005,266.62,0.5177499999999999,0.5295000000000001,0.5514999999999999,0.839,-0.34675,0.198,1.01125,0.595,-0.113,0.046,0.3717500000000001,-0.166,0.6527499999999999,0.6015,37.7165,29.536,53.39125,45.801,0,69.25,3.75,0.75025,3,2.5
"↓ Approach | 📉 SG Approach: trend reversing (0.893) | 📉 SG Around Green: trend continuing (0.284)","14577","English, Harris",44,"T28",-7,0.9235,0.089,307.3,265.398,0.67825,0.6249,0.5952500000000001,-0.119,0.06375000000000003,-0.253,-0.42325,-0.194,0.95475,0.328,0.32825,0.644,0.764,0.5809000000000001,30.737499999999997,28.247,49.21725,45.804,0,69.25,4.25,0.66775,2,2.25
"↑ Finished better than predicted | ↓ Putting | 📉 SG Putting: trend continuing (3.111) | 📉 SG Approach: trend continuing (0.448) | 📉 SG T2G: trend reversing (0.437)","16841","Lee, Min Woo",83,"T28",-7,0.9235000000000001,0.136,323.325,271.203,0.5535,0.47409999999999997,1.353,-0.065,-0.6140000000000001,-0.636,1.37575,0.344,0.59125,0.228,-0.4295,-0.434,0.611,0.586,33.93725,28.082,52.80575,35.833,0,69.25,4,0.73575,3.75,2.75
"↑ Approach | 📈 SG Approach: trend continuing (3.003) | 📈 SG OTT: trend reversing (3.748) | 📈 SG T2G: trend reversing (0.915)","13764","Parry, John",39,"T35",-6,0.6735,0.185,309.2,225.128,0.55375,0.45549999999999996,-0.17825000000000002,0.066,0.7367499999999999,0.273,-0.5495,0.068,-0.36550000000000005,-0.275,0.8515,-0.207,0.70825,0.5617,28.69875,21.447,45.62075,36.821,0,69.5,4.75,0.614,3.25,2.25
"↑ Finished better than predicted | ↑ Putting | 📈 SG Putting: trend reversing (2.632) | 📈 SG Around Green: trend continuing (0.466)","25569","Stevens, Sam",84,"T35",-6,0.6735,0.327,312.425,276.518,0.6067499999999999,0.5421,0.8285000000000001,0.268,0.35575,-0.074,0.43075,0.149,0.04200000000000004,0.193,-0.15525,-0.049,0.639,0.6056,31.0745,27.937,52.01475000000001,46.619,0,69.5,3.75,0.5895,4,3.25
"↑ Finished better than predicted | ↑ Overall | 📈 SG T2G: trend continuing (5.201) | 📉 SG Total: trend reversing (4.799) | 📉 SG Approach: trend reversing (4.218)","23604","Clark, Wyndham",69,"T35",-6,0.6735000000000001,0.252,311.975,276.743,0.589,0.5225,0.47350000000000003,-0.163,0.016249999999999987,0.093,0.036750000000000005,0.074,0.42050000000000004,-0.33,0.2,0.163,0.7084999999999999,0.5915,25.16575,26.297,76.14975,42.602,0,69.5,4,0.6105,3.25,2
"↑ Finished better than predicted | ↑ Overall | 📈 SG Total: trend continuing (0.529) | 📈 SG T2G: trend continuing (0.352) | 📉 SG Putting: trend continuing (0.257)","24766","Kim, Tom",92,"T35",-6,0.6735,-0.014,300.125,272.416,0.6604999999999999,0.5649000000000001,0.758,-0.279,0.6955,0.02,-0.20899999999999996,-0.245,0.2715,-0.054,-0.08449999999999999,-0.306,0.7362500000000001,0.6177,29.955499999999997,28.308,48.958,45.314,0,69.5,3.5,0.5952500000000001,2.25,2.25
"↓ Putting | 📉 SG Putting: trend reversing (2.762) | 📈 SG Approach: trend continuing (0.529) | 📈 SG Around Green: trend reversing (0.866) | ❌ Underperformed model prediction","21554","Poston, J.T.",15,"T35",-6,0.6735,1.132,305.775,256.552,0.607,0.5807,0.33575,0.606,0.40925,0.138,-0.8325,0.522,0.7590000000000001,-0.054,0.3377500000000001,-0.158,0.75,0.5652,28.82425,27.508,47.1025,44.841,0,69.5,4.75,0.53125,3.5,4.5
"↑ Finished better than predicted | ↓ Overall | 📉 SG T2G: trend continuing (0.330) | 📉 SG Total: trend reversing (0.477) | 📉 SG Around Green: trend continuing (0.194)","18474","Smalley, Alex",87,"T35",-6,0.6735000000000001,-0.119,309.85,267.615,0.5177499999999999,0.4543,-0.041499999999999995,-0.358,0.21275000000000005,0.009,-0.39475000000000005,-0.12,0.14049999999999993,-0.247,0.715,0.218,0.6945,0.597,30.727249999999998,25.652,51.36025,45.933,0,69.5,4,0.6085,4.25,2.75
"↓ Short Game | 📉 SG Around Green: trend continuing (0.936) | 📈 SG Approach: trend reversing (0.704) | 📈 SG Putting: trend continuing (0.328)","17365","Mitchell, Keith",23,"T41",-5,0.4235,1.005,318.625,293.713,0.6247499999999999,0.5053,-0.6937500000000001,1.325,-1.31,0.316,-0.19575,0.167,0.812,0.842,1.11725,-0.467,0.6527499999999999,0.6928,33.916000000000004,26.786,46.554750000000006,42.811,0,69.75,3.75,0.5975,2.75,2.75
"↑ Approach | 📈 SG Approach: trend continuing (1.774) | 📈 SG Around Green: trend reversing (0.185) | 📉 Driving Accuracy: trend continuing (0.049)","23816","Valimaki, Sami",64,"T41",-5,0.4235,0.244,304.3,243.366,0.482,0.5117,0.02325000000000005,-0.199,0.28475000000000006,0.24,-0.013499999999999956,-0.155,-0.24800000000000005,-0.284,0.4,0.413,0.6807500000000001,0.5526,29.67425,25.538,62.458,40.589,0,69.75,3.75,0.651,2.25,2.75
"↓ Putting | 📉 SG Putting: trend continuing (10.032) | 📈 SG OTT: trend continuing (0.460) | 📈 SG Around Green: trend reversing (0.656)","32457","Keefer, Johnny",40,"T41",-5,0.4235,0.586,316.45,232.045,0.625,0.43270000000000003,0.9835,0.659,0.92275,0.43,-0.72425,-0.235,0.785,0.464,-0.56,-0.313,0.8055000000000001,0.542,27.8965,19.938,43.256,34.496,0,69.75,4.75,0.49574999999999997,3.5,3
"↑ Finished better than predicted","21407","Reitan, Kristoffer",100,"T41",-5,0.4235000000000001,-0.843,312.475,258.465,0.589,0.39909999999999995,0.48224999999999996,-0.933,-0.25775,-0.737,-0.20525000000000002,-0.205,0.9452499999999999,0.008,-0.05875000000000004,-0.214,0.736,0.5242,33.310500000000005,26.345,55.00125,65.88,0,69.75,4,0.5855,2.75,4.25
"","23841","Neergaard-Petersen, Rasmus",71,"T41",-5,0.4235000000000001,-0.024,308.425,238.559,0.6784999999999999,0.3897,-0.23724999999999996,0.152,-0.68575,0.597,-0.36675,-0.713,0.81525,0.268,0.6607500000000001,-0.752,0.7222500000000001,0.4962,31.9345,23.701,74.05125,35.923,0,69.75,3.5,0.6625000000000001,2,2.25
"↓ Putting | 📉 SG Putting: trend reversing (0.465) | 📉 SG Around Green: trend reversing (0.192)","26651","Young, Cameron",24,"T41",-5,0.4235,0.344,316.1,290.341,0.6072500000000001,0.5224,-0.22375,-0.045,-0.4715,-0.374,0.21875,0.2,0.029000000000000026,0.129,0.6472500000000001,0.377,0.5835,0.6163000000000001,33.1885,31.266,43.98025,41.953,0,69.75,4.25,0.7422500000000001,3.75,4.25
"❌ Underperformed model prediction","19895","Schauffele, Xander",12,"T41",-5,0.4234999999999999,1.312,316.625,269.183,0.5715,0.5446,0.50475,0.271,0.37925,0.268,-0.5747500000000001,0.196,0.70025,-0.194,-0.08124999999999999,-0.134,0.6945,0.6053999999999999,29.9175,22.137,47.17700000000001,34.452,0,69.75,4,0.6375,4.25,3.75
"↓ Driving | 📉 SG OTT: trend reversing (0.347) | 📉 SG T2G: trend reversing (0.318) | 📉 SG Approach: trend reversing (0.275)","23505","McGreevy, Max",58,"T48",-4,0.1735,-0.531,301.525,265.021,0.5895,0.5163,0.93375,-0.633,0.20500000000000002,-0.657,0.12024999999999997,0.315,0.6085000000000002,-0.292,-0.7602500000000001,-0.441,0.6945,0.5665,34.2975,28.7,52.710499999999996,52.36,0,70,3.5,0.5735,3,2.75
"↑ Driving | 📈 SG OTT: trend continuing (2.633) | 📉 SG Around Green: trend continuing (2.234) | 📉 SG T2G: trend continuing (0.383)","24343","Lamprecht, Christo",49,"T48",-4,0.1735,-1.639,322.925,136.651,0.48225,0.1673,-1.14825,-0.057,-1.31775,-0.235,-0.14725,0.159,0.3167499999999999,0.019,1.32175,-1.079,0.6392500000000001,0.2734,40.379999999999995,15.693,55.852000000000004,26.199,0,70,3.75,0.6922499999999999,2.75,2.5
"↑ Finished better than predicted | ↓ Overall | 📉 SG T2G: trend reversing (5.339) | 📉 SG Approach: trend reversing (0.506) | 📉 Driving Accuracy: trend reversing (0.067)","29197","Brennan, Michael",86,"T48",-4,0.1735,-0.813,331.375,246.522,0.55325,0.48479999999999995,0.7057500000000001,-0.267,0.6195,-0.282,-0.4275,-0.81,0.5137499999999999,0.825,-0.5322499999999999,-0.696,0.6387499999999999,0.47490000000000004,30.1295,24.183,39.99725,42.75,0,70,4.25,0.5585,5.5,4
"↑ Finished better than predicted | ↑ Approach | 📈 SG Approach: trend continuing (3.132) | 📈 SG Total: trend continuing (1.878) | 📉 SG Around Green: trend reversing (1.286)","19846","Bauchou, Zach",90,"T48",-4,0.1735,-0.098,309.025,210.531,0.536,0.3368,-0.04175000000000001,-0.569,0.8960000000000001,-0.383,0.015750000000000042,0.192,-0.9534999999999999,-0.379,0.2152500000000001,0.082,0.653,0.4579,32.02975,23.387,45.235499999999995,37.488,0,70,3.5,0.698,4.25,3.25
