
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"19840","Ramey, Chad","T48",0.315945,0.315945,0.737812,0.737812,-0.38515,-0.38515,-0.547318,-0.547318,-0.886853,-0.886853,-0.750641,-0.750641,0.576224,0.576224,1.545993,1.545993,1.145435,1.145435,-0.128677,0.128677,1.187659,-1.187659
"16162","Lee, S.T.","T48",0.315945,0.315945,0.063927,0.063927,-0.021264,-0.021264,-0.237868,-0.237868,-0.503821,-0.503821,0.769051,0.769051,-0.536653,-0.536653,1.034691,1.034691,-1.072338,-1.072338,-0.661399,0.661399,1.198435,-1.198435
"21688","Kim, S.H.","T54",0.193817,0.193817,-0.079792,-0.079792,1.601063,1.601063,0.354619,0.354619,-0.055066,-0.055066,-0.207011,-0.207011,0.942713,0.942713,-0.192235,-0.192235,0.355816,0.355816,0.180584,-0.180584,-1.015724,1.015724
"28469","Highsmith, Joe","T54",0.193817,0.193817,-0.166024,-0.166024,0.335042,0.335042,0.452167,0.452167,0.660681,0.660681,-0.358451,-0.358451,0.433501,0.433501,-0.353659,-0.353659,0.672234,0.672234,-0.921125,0.921125,-0.966482,0.966482
"29925","Yellamaraju, Sudarshan","T54",0.193817,0.193817,0.453567,0.453567,-0.564566,-0.564566,0.246417,0.246417,0.750278,0.750278,-0.079929,-0.079929,-0.314078,-0.314078,-0.013701,-0.013701,0.829017,0.829017,-0.402713,0.402713,0.391341,-0.391341
"18628","Campbell, Brian","T54",0.193817,0.193817,-2.372916,-2.372916,0.158152,0.158152,-0.36678,-0.36678,0.799313,0.799313,-1.088114,-1.088114,-0.737478,-0.737478,0.99948,0.99948,0.196182,0.196182,-0.089599,0.089599,0.810165,-0.810165
"22085","Morikawa, Collin","T54",0.193817,0.193817,-0.456657,-0.456657,-0.203207,-0.203207,0.581529,0.581529,0.379311,0.379311,0.395218,0.395218,0.380763,0.380763,-0.567156,-0.567156,0.352966,0.352966,-0.626296,0.626296,0.921177,-0.921177
"20954","Hirata, Kensei","T54",0.193817,0.193817,-1.379655,-1.379655,1.783006,1.783006,0.537408,0.537408,0.113602,0.113602,0.328853,0.328853,0.657566,0.657566,-0.494503,-0.494503,0.355816,0.355816,0.826932,-0.826932,2.076096,-2.076096
"25319","VanDerLaan, John","T60",0.07169,0.07169,0.916663,0.916663,1.239703,1.239703,-0.149175,-0.149175,-0.231179,-0.231179,-0.808887,-0.808887,0.654885,0.654885,0.392217,0.392217,0.829017,0.829017,-1.085388,1.085388,1.180558,-1.180558
"19729","Kanaya, Takumi","T60",0.07169,0.07169,-0.015917,-0.015917,1.60359,1.60359,-0.577632,-0.577632,-1.215974,-1.215974,-1.041518,-1.041518,1.143538,1.143538,1.100154,1.100154,-0.593436,-0.593436,2.17846,-2.17846,-0.495664,0.495664
"14792","Saddier, Adrien","T60",0.07169,0.07169,0.191678,0.191678,1.601063,1.601063,0.247768,0.247768,-0.026827,-0.026827,-0.346448,-0.346448,0.815485,0.815485,-0.263648,-0.263648,0.669383,0.669383,0.024027,-0.024027,-1.267965,1.267965
"16283","Rodgers, Patrick","T60",0.07169,0.07169,0.718649,0.718649,0.335042,0.335042,0.139865,0.139865,-0.586486,-0.586486,0.114931,0.114931,0.86137,0.86137,-0.085362,-0.085362,0.352966,0.352966,1.112404,-1.112404,-0.424928,0.424928
"12577","Woodland, Gary","T64",-0.050438,-0.050438,1.810917,1.810917,-0.387677,-0.387677,-0.218058,-0.218058,-0.405752,-0.405752,-0.565665,-0.565665,0.51544,0.51544,0.25782,0.25782,0.036548,0.036548,-0.241203,0.241203,0.554515,-0.554515
"27364","Thompson, Davis","T64",-0.050438,-0.050438,0.028796,0.028796,0.698928,0.698928,0.307947,0.307947,0.355436,0.355436,-0.44176,-0.44176,0.571754,0.571754,-0.611046,-0.611046,0.829017,0.829017,-0.35067,0.35067,0.031987,-0.031987
"27164","Phillips, Chandler","T66",-0.172565,-0.172565,-0.082986,-0.082986,-0.023791,-0.023791,-1.720886,-1.720886,-1.206732,-1.206732,-1.30133,-1.30133,-0.917743,-0.917743,2.492967,2.492967,-1.545539,-1.545539,1.227315,-1.227315,-0.242802,0.242802
"17538","Homa, Max","T66",-0.172565,-0.172565,-0.360844,-0.360844,-0.38515,-0.38515,-0.432812,-0.432812,-0.095629,-0.095629,-0.345742,-0.345742,-0.456502,-0.456502,0.36494,0.36494,0.196182,0.196182,-0.035049,0.035049,2.028361,-2.028361
"32055","Shipley, Neal","T68",-0.294693,-0.294693,0.166128,0.166128,1.601063,1.601063,0.486833,0.486833,0.620119,0.620119,-1.441474,-1.441474,1.463545,1.463545,-1.402547,-1.402547,0.826166,0.826166,-0.70641,0.70641,2.819292,-2.819292
"21943","Lebioda, Hank","T68",-0.294693,-0.294693,-0.181993,-0.181993,-0.021264,-0.021264,0.209499,0.209499,0.309226,0.309226,-0.41352,-0.41352,0.406089,0.406089,-0.944309,-0.944309,1.145435,1.145435,0.425082,-0.425082,-0.223663,0.223663
"14502","Cauley, Bud","T68",-0.294693,-0.294693,-0.935722,-0.935722,0.155625,0.155625,0.744358,0.744358,1.344339,1.344339,-0.299499,-0.299499,0.170403,0.170403,-1.828053,-1.828053,0.036548,0.036548,-0.486312,0.486312,0.01136,-0.01136
"21074","Nakajima, Keita","71",-0.538948,-0.538948,-0.025498,-0.025498,-0.021264,-0.021264,-0.359727,-0.359727,0.620889,0.620889,-0.335505,-0.335505,-1.151641,-1.151641,-0.49971,-0.49971,0.196182,0.196182,-0.220349,0.220349,-0.316854,0.316854
"13470","Kizzire, Patton","72",-0.661075,-0.661075,-0.894203,-0.894203,-1.82806,-1.82806,-0.743312,-0.743312,0.284067,0.284067,0.652206,0.652206,-2.355991,-2.355991,-0.113878,-0.113878,0.036548,0.036548,-0.763223,0.763223,-0.775729,0.775729
"17786","Davis, Cam","73",-1.027458,-1.027458,-1.274261,-1.274261,-0.203207,-0.203207,-0.887832,-0.887832,-0.204737,-0.204737,0.088808,0.088808,-1.600069,-1.600069,-0.618981,-0.618981,-1.229122,-1.229122,0.231893,-0.231893,-0.435816,0.435816
"12808","Grillo, Emiliano","74",0.029189,0.029189,-0.97724,-0.97724,-0.205734,-0.205734,-0.637511,-0.637511,-0.877098,-0.877098,-0.599201,-0.599201,0.258003,0.258003,1.112304,1.112304,-0.439503,-0.439503,0.25874,-0.25874,0.224756,-0.224756
"14509","Dahmen, Joel","74",0.029189,0.029189,-0.958078,-0.958078,3.043973,3.043973,0.661518,0.661518,-1.321231,-1.321231,1.409405,1.409405,1.657219,1.657219,-1.033576,-1.033576,0.199033,0.199033,0.46838,-0.46838,-1.227162,1.227162
"22002","Dumont de Chassart, Adrien","74",0.029189,0.029189,0.645193,0.645193,0.158152,0.158152,0.2107,0.2107,1.021122,1.021122,-0.271611,-0.271611,-0.537547,-0.537547,-0.289188,-0.289188,-0.75307,-0.75307,-0.837893,0.837893,-1.565077,1.565077
"23465","Greyserman, Max","74",0.029189,0.029189,0.990119,0.990119,-1.646117,-1.646117,-0.357175,-0.357175,1.497603,1.497603,-1.406879,-1.406879,-1.2598,-1.2598,0.649107,0.649107,0.831868,0.831868,0.251524,-0.251524,-0.250978,0.250978
"13412","Olesen, Thorbjorn","74",0.029189,0.029189,-0.012723,-0.012723,-0.564566,-0.564566,0.193891,0.193891,-0.048905,-0.048905,1.46871,1.46871,-0.797963,-0.797963,-0.261417,-0.261417,0.5126,0.5126,-0.708122,0.708122,-0.011133,0.011133
"18103","Bezuidenhout, Christiaan","74",-0.215066,-0.215066,-2.063121,-2.063121,0.880871,0.880871,-0.079541,-0.079541,-0.468906,-0.468906,0.369448,0.369448,0.074461,0.074461,-0.305554,-0.305554,-0.75307,-0.75307,0.332616,-0.332616,0.742349,-0.742349
"12909","Campos, Rafael","74",-0.215066,-0.215066,-0.491788,-0.491788,0.516985,0.516985,-0.71675,-0.71675,-0.398564,-0.398564,-0.282201,-0.282201,-0.722282,-0.722282,0.747301,0.747301,-0.439503,-0.439503,-0.051805,0.051805,-0.702449,0.702449
"24304","Vilips, Karl","74",-0.215066,-0.215066,-0.35765,-0.35765,-1.282231,-1.282231,-0.681332,-0.681332,-0.898663,-0.898663,0.167529,0.167529,-0.451139,-0.451139,0.689277,0.689277,-1.072338,-1.072338,-0.194664,0.194664,0.092551,-0.092551
"16333","Hubbard, Mark","74",-0.215066,-0.215066,-1.213579,-1.213579,0.516985,0.516985,0.432807,0.432807,-0.562867,-0.562867,1.132648,1.132648,0.556558,0.556558,-1.152103,-1.152103,-0.120235,-0.120235,-0.056453,0.056453,0.772979,-0.772979
"12423","Kirk, Chris","74",-0.215066,-0.215066,-0.210737,-0.210737,0.158152,0.158152,0.317851,0.317851,0.202172,0.202172,-0.3055,-0.3055,0.654289,0.654289,-0.962163,-0.962163,0.5126,0.5126,-0.290922,0.290922,0.764201,-0.764201
"14926","Malnati, Peter","74",-0.215066,-0.215066,-0.894203,-0.894203,-0.205734,-0.205734,-0.11856,-0.11856,-0.425776,-0.425776,1.996101,1.996101,-1.426061,-1.426061,-0.241083,-0.241083,-0.433802,-0.433802,0.493943,-0.493943,0.657126,-0.657126
"25908","Whaley, Vince","74",-0.215066,-0.215066,-0.549276,-0.549276,-1.282231,-1.282231,-1.239903,-1.239903,-0.364163,-0.364163,-0.923967,-0.923967,-1.259204,-1.259204,1.611703,1.611703,-1.072338,-1.072338,2.499585,-2.499585,-0.05755,0.05755
"26653","Eckroat, Austin","74",-0.459321,-0.459321,-0.159636,-0.159636,0.875817,0.875817,0.150971,0.150971,0.598041,0.598041,-1.137182,-1.137182,0.565497,0.565497,-1.181859,-1.181859,-0.433802,-0.433802,-1.021236,1.021236,0.34856,-0.34856
"24342","Higgo, Garrick","74",-0.459321,-0.459321,0.153353,0.153353,0.153098,0.153098,-0.485337,-0.485337,-2.331699,-2.331699,0.988621,0.988621,0.90815,0.90815,-0.130492,-0.130492,-1.072338,-1.072338,0.852801,-0.852801,1.537914,-1.537914
"16243","Koepka, Brooks","74",-0.459321,-0.459321,0.198065,0.198065,-0.928452,-0.928452,0.35537,0.35537,0.374177,0.374177,0.274137,0.274137,0.039897,0.039897,-1.519586,-1.519586,-0.120235,-0.120235,0.253114,-0.253114,-2.21235,2.21235
"20766","Brown, Dan","74",-0.459321,-0.459321,-0.485401,-0.485401,0.880871,0.880871,-1.137253,-1.137253,-1.088639,-1.088639,-0.713575,-0.713575,-0.392143,-0.392143,0.946168,0.946168,-1.072338,-1.072338,-0.080059,0.080059,0.889548,-0.889548
"15575","Hoge, Tom","74",-0.459321,-0.459321,-0.970853,-0.970853,-0.564566,-0.564566,-1.415788,-1.415788,-1.801306,-1.801306,-0.518715,-0.518715,-0.282494,-0.282494,1.406389,1.406389,-1.391607,-1.391607,2.040066,-2.040066,0.001376,-0.001376
