
Tournament: American Express (2026),Last updated: 2026-02-23T13:08:01.927Z
Course: La Quinta Country Club,Found 156 players from historical_csv
Data Date: 2026-02-23T19:56:20.841Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"15651","Ventura, Kris","74",101,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE"
"11451","Garnett, Brice","74",117,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"24550","Ghim, Doug","74",24,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"8820","Snedeker, Brandt","74",137,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8"
"14502","Cauley, Bud","74",43,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
"21074","Nakajima, Keita","74",68,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"9171","Villegas, Camilo","74",116,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE"
"27364","Thompson, Davis","74",121,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"23475","Novak, Andrew","74",111,"","","","","","","","","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8"
"19729","Kanaya, Takumi","74",140,"","","","","","","","","#F2DEDE","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8"
