,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,dg_id,player_name,am,event_name,course_name,course,early_late,pga_number,current_round,start_hole,r1_teetime,r2_teetime,r3_teetime,r4_teetime,unofficial
,23014,"Theegala, Sahith",0,Farmers Insurance Open,,,1,51634,1,10,2026-01-29 9:21,2026-01-30 10:27,,,1899-12-30 0:00
,27364,"Thompson, Davis",0,Farmers Insurance Open,,,,58168,1,1,2026-01-29 10:38,2026-01-30 9:32,,,1899-12-30 0:00
,26649,"Thorbjornsen, Michael",0,Farmers Insurance Open,,,1,57364,1,1,2026-01-29 9:10,2026-01-30 10:16,,,1899-12-30 0:00
,17032,"Tosti, Alejandro",0,Farmers Insurance Open,,,1,38991,1,1,2026-01-29 10:05,2026-01-30 11:11,,,1899-12-30 0:00
,23816,"Valimaki, Sami",0,Farmers Insurance Open,,,,52666,1,1,2026-01-29 10:38,2026-01-30 9:32,,,1899-12-30 0:00
,17550,"Van Rooyen, Erik",0,Farmers Insurance Open,,,1,40006,1,10,2026-01-29 9:21,2026-01-30 10:27,,,1899-12-30 0:00
,25319,"VanDerLaan, John",0,Farmers Insurance Open,,,1,55573,1,10,2026-01-29 9:54,2026-01-30 11:00,,,0
,13508,"Vegas, Jhonattan",0,Farmers Insurance Open,,,1,27064,1,10,2026-01-29 9:43,2026-01-30 10:49,,,0
,15651,"Ventura, Kris",0,Farmers Insurance Open,,,,35658,1,10,2026-01-29 11:11,2026-01-30 10:05,,,0
,24304,"Vilips, Karl",0,Farmers Insurance Open,,,1,54304,1,1,2026-01-29 9:43,2026-01-30 10:49,,,0
,9171,"Villegas, Camilo",0,Farmers Insurance Open,,,,27770,1,1,2026-01-29 10:27,2026-01-30 9:21,,,0
,25003,"Walker, Danny",0,Farmers Insurance Open,,,,54607,1,10,2026-01-29 10:16,2026-01-30 9:10,,,0
,20706,"Wallace, Matt",0,Farmers Insurance Open,,,1,48887,1,1,2026-01-29 9:54,2026-01-30 11:00,,,0
,25908,"Whaley, Vince",0,Farmers Insurance Open,,,,51894,1,10,2026-01-29 10:27,2026-01-30 9:21,,,0
,22051,"Wise, Aaron",0,Farmers Insurance Open,,,,49964,1,10,2026-01-29 11:00,2026-01-30 9:43,,,0
,12577,"Woodland, Gary",0,Farmers Insurance Open,,,,31323,1,1,2026-01-29 11:00,2026-01-30 9:54,,,0
,25002,"Wu, Dylan",0,Farmers Insurance Open,,,1,54783,1,1,2026-01-29 9:54,2026-01-30 11:00,,,0
,29925,"Yellamaraju, Sudarshan",0,Farmers Insurance Open,,,1,60386,1,10,2026-01-29 10:05,2026-01-30 11:11,,,0
,26651,"Young, Cameron",0,Farmers Insurance Open,,,,57366,1,1,2026-01-29 10:38,2026-01-30 9:32,,,0
,17881,"Yu, Kevin",0,Farmers Insurance Open,,,1,45242,1,10,2026-01-29 9:32,2026-01-30 10:38,,,0
,19428,"Zalatoris, Will",0,Farmers Insurance Open,,,1,47483,1,10,2026-01-29 9:32,2026-01-30 10:38,,,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0
