G,G,G,G,G,G,,Instructions
42307077,42307080,42307109,42307111,42307113,42307131,,
42307080,42307081,42307090,42307109,42307111,42307131,,
42307080,42307081,42307090,42307109,42307113,42307131,,
42307077,42307080,42307103,42307109,42307111,42307147,,
42307077,42307090,42307099,42307103,42307111,42307113,,
42307077,42307090,42307099,42307101,42307103,42307131,,
42307081,42307083,42307099,42307101,42307103,42307113,,
42307081,42307083,42307091,42307099,42307101,42307147,,
42307083,42307091,42307093,42307100,42307101,42307102,,
42307083,42307091,42307093,42307094,42307102,42307108,,
42307088,42307089,42307091,42307093,42307102,42307108,,
42307087,42307089,42307093,42307094,42307102,42307104,,
42307087,42307088,42307089,42307094,42307108,42307112,,
42307087,42307088,42307089,42307094,42307107,42307112,,
42307078,42307088,42307100,42307104,42307107,42307108,,
42307078,42307087,42307100,42307104,42307107,42307112,,
42307078,42307084,42307097,42307100,42307104,42307147,,
42307078,42307084,42307095,42307097,42307112,42307147,,
42307082,42307084,42307085,42307107,42307118,42307124,,
42307084,42307085,42307092,42307095,42307097,42307143,,
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,G,Beau Hossler (42307152),Beau Hossler,42307152,G,6700,Valspar Championship,Golf,52.2
,,,,,,,G,Zachary Bauchou (42307153),Zachary Bauchou,42307153,G,6700,Valspar Championship,Golf,71.71
,,,,,,,G,Chandler Blanchet (42307154),Chandler Blanchet,42307154,G,6600,Valspar Championship,Golf,44.92
,,,,,,,G,Gary Woodland (42307155),Gary Woodland,42307155,G,6600,Valspar Championship,Golf,41.33
,,,,,,,G,Steven Fisk (42307156),Steven Fisk,42307156,G,6600,Valspar Championship,Golf,50.92
,,,,,,,G,Kevin Yu (42307157),Kevin Yu,42307157,G,6600,Valspar Championship,Golf,40.58
,,,,,,,G,Seonghyeon Kim (42307158),Seonghyeon Kim,42307158,G,6600,Valspar Championship,Golf,60.93
,,,,,,,G,Emiliano Grillo (42307159),Emiliano Grillo,42307159,G,6600,Valspar Championship,Golf,48.21
,,,,,,,G,Andrew Putnam (42307160),Andrew Putnam,42307160,G,6600,Valspar Championship,Golf,61.5
,,,,,,,G,Justin Lower (42320162),Justin Lower,42320162,G,6600,Valspar Championship,Golf,48.62
,,,,,,,G,Sam Ryder (42338150),Sam Ryder,42338150,G,6600,Valspar Championship,Golf,56.38
,,,,,,,G,Webb Simpson (42307161),Webb Simpson,42307161,G,6500,Valspar Championship,Golf,39.17
,,,,,,,G,Davis Riley (42307162),Davis Riley,42307162,G,6500,Valspar Championship,Golf,50.29
,,,,,,,G,Adrien Saddier (42307163),Adrien Saddier,42307163,G,6500,Valspar Championship,Golf,54.36
,,,,,,,G,A.J. Ewart (42307164),A.J. Ewart,42307164,G,6500,Valspar Championship,Golf,60.64
,,,,,,,G,David Lipsky (42307165),David Lipsky,42307165,G,6500,Valspar Championship,Golf,69.88
,,,,,,,G,Jimmy Stanger (42307166),Jimmy Stanger,42307166,G,6500,Valspar Championship,Golf,60.4
,,,,,,,G,Dylan Wu (42307167),Dylan Wu,42307167,G,6500,Valspar Championship,Golf,67.6
,,,,,,,G,Mark Hubbard (42307168),Mark Hubbard,42307168,G,6400,Valspar Championship,Golf,51.57
,,,,,,,G,Matthieu Pavon (42307169),Matthieu Pavon,42307169,G,6400,Valspar Championship,Golf,62.29
,,,,,,,G,Adam Svensson (42307170),Adam Svensson,42307170,G,6400,Valspar Championship,Golf,56.7
,,,,,,,G,Karl Vilips (42307171),Karl Vilips,42307171,G,6400,Valspar Championship,Golf,45.5
,,,,,,,G,Takumi Kanaya (42307172),Takumi Kanaya,42307172,G,6400,Valspar Championship,Golf,51.36
,,,,,,,G,John VanDerLaan (42307173),John VanDerLaan,42307173,G,6400,Valspar Championship,Golf,53.75
,,,,,,,G,Jackson Suber (42307174),Jackson Suber,42307174,G,6400,Valspar Championship,Golf,58.6
,,,,,,,G,Chandler Phillips (42307175),Chandler Phillips,42307175,G,6300,Valspar Championship,Golf,52.33
,,,,,,,G,Neal Shipley (42307176),Neal Shipley,42307176,G,6300,Valspar Championship,Golf,38.25
,,,,,,,G,Patrick Fishburn (42307177),Patrick Fishburn,42307177,G,6300,Valspar Championship,Golf,40.12
,,,,,,,G,Pontus Nyholm (42307178),Pontus Nyholm,42307178,G,6300,Valspar Championship,Golf,46.33
,,,,,,,G,Isaiah Salinda (42307179),Isaiah Salinda,42307179,G,6300,Valspar Championship,Golf,48
,,,,,,,G,Gordon Sargent (42307180),Gordon Sargent,42307180,G,6300,Valspar Championship,Golf,45.2
