"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Performance Notes","DG ID","Player Name","Finish Position","Model Rank","SG Total (Actual)","SG Total (Model)","Driving Distance (Actual)","Driving Distance (Model)","Driving Accuracy (Actual)","Driving Accuracy (Model)","SG T2G (Actual)","SG T2G (Model)","SG Approach (Actual)","SG Approach (Model)","SG Around Green (Actual)","SG Around Green (Model)","SG OTT (Actual)","SG OTT (Model)","SG Putting (Actual)","SG Putting (Model)","Greens in Regulation (Actual)","Greens in Regulation (Model)","Scrambling (Actual)","Scrambling (Model)","Great Shots (Actual)","Great Shots (Model)","Poor Shots (Actual)","Poor Shots (Model)","Scoring Average (Actual)","Scoring Average (Model)","Fairway Proximity (Actual)","Fairway Proximity (Model)","Rough Proximity (Actual)","Rough Proximity (Model)","Approach <100 GIR (Actual)","Approach <100 GIR (Model)","Approach <100 SG (Actual)","Approach <100 SG (Model)","Approach <100 Prox (Actual)","Approach <100 Prox (Model)","Approach <150 FW GIR (Actual)","Approach <150 FW GIR (Model)","Approach <150 FW SG (Actual)","Approach <150 FW SG (Model)","Approach <150 FW Prox (Actual)","Approach <150 FW Prox (Model)","Approach <150 Rough GIR (Actual)","Approach <150 Rough GIR (Model)","Approach <150 Rough SG (Actual)","Approach <150 Rough SG (Model)","Approach <150 Rough Prox (Actual)","Approach <150 Rough Prox (Model)","Approach >150 Rough GIR (Actual)","Approach >150 Rough GIR (Model)","Approach >150 Rough SG (Actual)","Approach >150 Rough SG (Model)","Approach >150 Rough Prox (Actual)","Approach >150 Rough Prox (Model)","Approach <200 FW GIR (Actual)","Approach <200 FW GIR (Model)","Approach <200 FW SG (Actual)","Approach <200 FW SG (Model)","Approach <200 FW Prox (Actual)","Approach <200 FW Prox (Model)","Approach >200 FW GIR (Actual)","Approach >200 FW GIR (Model)","Approach >200 FW SG (Actual)","Approach >200 FW SG (Model)","Approach >200 FW Prox (Actual)","Approach >200 FW Prox (Model)"
"≈ Near model (-4)","14704","Putnam, Andrew",30,26,"","0.268","","271.026","","72.02%","","0.699","","0.240","","0.622","","-0.162","","-0.453","","64.44%","","59.63%","","2.432","","2.731","","71.657","","34.147","","79.916","","100.00%","","0.252","","15.908","","80.40%","","-0.054","","23.036","","58.50%","","-0.072","","42.582","","36.60%","","1.782","","67.809","","72.00%","","0.162","","33.521","","46.70%","","0.954","","41.999"
"≈ Near model (+5)","14139","Thomas, Justin",30,35,"","0.298","","295.947","","48.51%","","0.198","","0.556","","0.541","","-0.899","","0.075","","65.51%","","71.96%","","3.525","","4.039","","71.541","","28.364","","62.932","","85.40%","","-1.710","","18.785","","96.90%","","2.088","","16.049","","65.70%","","0.792","","43.897","","21.00%","","-0.990","","88.429","","66.00%","","-1.188","","32.475","","0.00%","","0.000","","0.000"
"✅ Beat model by 22","18103","Bezuidenhout, Christiaan",30,52,"","-0.330","","279.509","","62.83%","","-0.744","","-0.170","","0.307","","-0.881","","0.029","","60.42%","","67.12%","","2.565","","3.567","","71.714","","33.342","","62.086","","92.80%","","3.654","","11.359","","74.80%","","-0.378","","20.789","","44.10%","","0.558","","38.219","","33.00%","","-0.594","","64.073","","70.40%","","-0.324","","33.107","","56.20%","","0.072","","54.132"
"✅ Beat model by 29","10873","Skinns, David",30,59,"","0.201","","284.396","","59.23%","","0.590","","0.442","","0.036","","0.112","","-0.557","","69.67%","","53.24%","","2.441","","3.833","","70.182","","28.680","","70.740","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000","","0.00%","","0.000","","0.000"
"✅ Beat model by 49","10104","Power, Seamus",30,79,"","-1.276","","286.898","","59.31%","","-0.518","","-0.312","","-0.111","","-0.096","","-0.728","","65.79%","","61.71%","","2.349","","5.171","","72.993","","33.451","","47.986","","65.50%","","-1.854","","20.269","","80.40%","","0.270","","21.783","","62.40%","","0.144","","37.260","","34.70%","","-1.062","","73.173","","72.40%","","-0.216","","33.213","","52.00%","","1.224","","38.660"
"✅ Beat model by 53","23048","Stanger, Jimmy",30,83,"","-0.164","","296.713","","57.70%","","-1.133","","-0.957","","-0.436","","0.259","","0.010","","67.06%","","53.91%","","3.236","","3.918","","70.579","","33.662","","49.505","","0.00%","","0.000","","0.000","","75.80%","","-0.414","","25.327","","83.40%","","3.906","","25.634","","0.00%","","0.000","","0.000","","57.60%","","-2.826","","43.778","","0.00%","","0.000","","0.000"
"✅ Beat model by 93","17543","Kim, Michael",30,123,"","-2.272","","288.963","","59.51%","","-1.464","","-1.036","","-0.440","","0.013","","-0.824","","57.20%","","63.05%","","1.970","","5.074","","73.890","","33.449","","55.674","","97.50%","","1.710","","13.093","","80.40%","","-0.108","","20.874","","59.60%","","0.036","","35.609","","33.40%","","-0.648","","53.888","","58.20%","","-1.044","","35.313","","44.80%","","-0.324","","44.431"
"✅ Beat model by 104","17881","Yu, Kevin",30,134,"","-3.311","","288.975","","51.96%","","-0.858","","-0.679","","-0.246","","0.067","","-2.409","","62.53%","","41.05%","","2.856","","6.913","","74.680","","34.835","","58.410","","70.40%","","-1.656","","22.157","","85.10%","","-0.144","","22.309","","55.70%","","-1.710","","41.343","","33.30%","","-0.342","","68.774","","66.90%","","-0.216","","34.148","","48.30%","","-0.018","","44.478"
"✅ Beat model by 105","17032","Tosti, Alejandro",30,135,"","-2.915","","300.169","","46.39%","","-2.602","","-1.241","","-0.435","","-0.926","","-1.238","","57.43%","","50.60%","","3.024","","6.247","","73.722","","34.685","","56.569","","84.70%","","3.528","","12.199","","73.30%","","-1.440","","24.206","","64.00%","","2.106","","25.776","","37.70%","","-1.296","","59.927","","43.40%","","-4.374","","41.699","","28.00%","","-2.898","","52.551"
"⚠️ Missed model by 21 | ❌ Underperformed model prediction","16283","Rodgers, Patrick",40,19,"","1.367","","293.261","","59.70%","","0.784","","0.311","","0.274","","0.199","","0.580","","70.17%","","64.52%","","3.833","","3.731","","70.439","","32.894","","59.451","","77.80%","","-2.898","","21.987","","83.10%","","0.162","","22.081","","50.60%","","-0.198","","44.173","","42.50%","","1.440","","52.924","","70.20%","","0.630","","30.582","","53.50%","","0.612","","47.630"
