Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
63,5085482679,JPB2014 (136/150),0,257,G Ludvig Aberg G Matt Fitzpatrick G Jake Knapp G Ben Griffin G Sepp Straka G Maverick McNealy,,Harry Hall,G,2.66%,18.1
64,5085680650,csurunnerccr (54/150),0,256.9,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Maverick McNealy G Harris English G Bud Cauley,,Rico Hoey,G,2.28%,24.25
64,5086206917,cptnspaulding (73/150),0,256.9,G Viktor Hovland G Russell Henley G Cameron Young G Sepp Straka G Rickie Fowler G Ryan Gerard,,Sungjae Im,G,2.16%,20.2
64,5086819275,kevinroach (108/150),0,256.9,G Tommy Fleetwood G Ludvig Aberg G Cameron Young G Maverick McNealy G Harris English G Bud Cauley,,Wyndham Clark,G,2.10%,25.6
67,5086704470,Dudeoflife (61/80),0,256.85,G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Akshay Bhatia G Maverick McNealy G Bud Cauley,,Davis Thompson,G,2.09%,26.55
68,5085680662,csurunnerccr (66/150),0,256.7,G Tommy Fleetwood G Xander Schauffele G Jake Knapp G Sepp Straka G Sahith Theegala G Max Greyserman,,Jason Day,G,1.87%,38.6
69,5086261653,rleejr1971 (2/4),0,256.65,G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Rickie Fowler G Maverick McNealy G Nicolai Hojgaard,,Tony Finau,G,1.86%,49.5
70,5086704471,Dudeoflife (62/80),0,256.25,G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Akshay Bhatia G Maverick McNealy G Max Greyserman,,J.T. Poston,G,1.86%,15.95
70,5086745664,ryanholthaus (2/2),0,256.25,G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Sam Burns G Maverick McNealy G Sahith Theegala,,Keegan Bradley,G,1.79%,21.15
72,5086471227,randers (28/150),0,256.05,G Tommy Fleetwood G Ludvig Aberg G Russell Henley G Maverick McNealy G Daniel Berger G Max Greyserman,,Jordan L. Smith,G,1.79%,7
73,5085811061,SkyU27 (4/10),0,255.7,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Maverick McNealy G Harris English G Corey Conners,,Lucas Glover,G,1.69%,39.55
74,5086603058,sp3263,0,255.6,G Xander Schauffele G Ludvig Aberg G Min Woo Lee G Sepp Straka G Jordan Spieth G Sahith Theegala,,Tom Hoge,G,1.55%,33
